set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
13.45,-0.5,0.5,1583480,-731,13.4469,0.00229
13.5,-0.5,0.5,1589908,-756,13.5014,0.00227
13.55,-0.5,0.5,1594014,-833,13.5362,0.00221
13.6,-0.5,0.5,1600285,-826,13.5894,0.00220
13.65,-0.5,0.5,1606597,-855,13.6429,0.00218
13.7,-0.5,0.5,1612948,-854,13.6968,0.00217
13.75,-0.5,0.5,1619265,-857,13.7503,0.00218
13.8,-0.5,0.5,1625543,-836,13.8036,0.00220
13.85,-0.5,0.5,1631941,-852,13.8574,0.00218
13.9,-0.5,0.5,1636028,-853,13.8931,0.00218
13.95,-0.5,0.5,1642264,-861,13.9454,0.00218
14.0,-0.5,0.5,1648607,-862,13.9991,0.00218
14.05,-0.5,0.5,1654883,-887,14.0523,0.00216
14.1,-0.5,0.5,1661129,-901,14.1053,0.00211
14.15,-0.5,0.5,1667384,-949,14.1583,0.00212
14.2,-0.5,0.5,1671506,-861,14.1933,0.00218
14.25,-0.5,0.5,1677625,-904,14.2452,0.00214
14.3,-0.5,0.5,1683963,-882,14.2989,0.00216
14.35,-0.5,0.5,1690265,-877,14.3520,0.00214
14.4,-0.5,0.5,1696607,-908,14.4061,0.00215
14.45,-0.5,0.5,1703048,-883,14.4607,0.00216
14.5,-0.5,0.5,1709249,-878,14.5133,0.00216
14.55,-0.5,0.5,1713291,-892,14.5472,0.00212
14.6,-0.5,0.5,1719467,-910,14.5997,0.00213
14.65,-0.5,0.5,1725530,-935,14.6514,0.00211
14.7,-0.5,0.5,1731617,-915,14.7029,0.00213
14.75,-0.5,0.5,1737728,-910,14.7548,0.00213
14.8,-0.5,0.5,1743874,-935,14.8069,0.00211
14.85,-0.5,0.5,1750108,-967,14.8597,0.00208
14.9,-0.5,0.5,1754179,-918,14.8942,0.00213
14.95,-0.5,0.5,1760241,-963,14.9456,0.00209
15.0,-0.5,0.5,1766524,-988,14.9989,0.00206
15.05,-0.5,0.5,1772610,-975,15.0505,0.00209
15.1,-0.5,0.5,1778809,-977,15.1031,0.00207
15.15,-0.5,0.5,1785003,-1008,15.1556,0.00205
15.2,-0.5,0.5,1791069,-992,15.2070,0.00206
15.25,-0.5,0.5,1795224,-999,15.2423,0.00205
15.3,-0.5,0.5,1801415,-1022,15.2948,0.00205
15.35,-0.5,0.5,1807520,-1044,15.3465,0.00205
15.4,-0.5,0.5,1813653,-1020,15.3985,0.00204
15.45,-0.5,0.5,1819885,-1032,15.4514,0.00202
15.5,-0.5,0.5,1826031,-1043,15.5035,0.00202
15.55,-0.5,0.5,1832540,-1044,15.5587,0.00201
15.6,-0.5,0.5,1836740,-1082,15.5943,0.00200
15.65,-0.5,0.5,1842968,-1082,15.6471,0.00198
15.7,-0.5,0.5,1849372,-1092,15.7011,0.00197
15.75,-0.5,0.5,1855607,-1084,15.7541,0.00198
15.8,-0.5,0.5,1861915,-1088,15.8077,0.00198
15.85,-0.5,0.5,1868266,-1096,15.8615,0.00197
15.9,-0.5,0.5,1872455,-1132,15.8971,0.00194
15.95,-0.5,0.5,1878889,-1147,15.9511,0.00192
16.0,-0.5,0.5,1885220,-1155,16.0053,0.00192
16.05,-0.5,0.5,1891445,-1153,16.0581,0.00192
16.1,-0.5,0.5,1897792,-1201,16.1119,0.00187
16.15,-0.5,0.5,1904022,-1176,16.1647,0.00190
16.2,-0.5,0.5,1910263,-1192,16.2177,0.00189
16.25,-0.5,0.5,1914618,-1220,16.2546,0.00186
16.3,-0.5,0.5,1920827,-1267,16.3072,0.00182
