set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
10.78,-0.1,0.1,1267905,-38943,10.7712,-0.03482
10.8,-0.1,0.1,1271840,-38912,10.8046,-0.03478
10.82,-0.1,0.1,1273821,-38928,10.8214,-0.03480
10.84,-0.1,0.1,1275894,-38902,10.8389,-0.03478
10.86,-0.1,0.1,1278008,-38916,10.8569,-0.03479
10.88,-0.1,0.1,1280014,-38932,10.8739,-0.03481
10.9,-0.1,0.1,1282063,-38925,10.8912,-0.03480
10.92,-0.1,0.1,1284136,-38918,10.9088,-0.03479
10.94,-0.1,0.1,1286086,-38924,10.9252,-0.03480
10.96,-0.1,0.1,1290170,-38916,10.9600,-0.03479
10.98,-0.1,0.1,1292135,-38930,10.9766,-0.03481
11.0,-0.1,0.1,1294097,-38903,10.9933,-0.03478
11.02,-0.1,0.1,1296124,-38947,11.0105,-0.03482
11.04,-0.1,0.1,1298179,-38877,11.0279,-0.03476
11.06,-0.1,0.1,1300577,-38916,11.0482,-0.03479
11.08,-0.1,0.1,1302644,-38934,11.0657,-0.03481
11.1,-0.1,0.1,1306779,-38921,11.1008,-0.03480
11.12,-0.1,0.1,1308920,-38895,11.1190,-0.03477
11.14,-0.1,0.1,1310946,-38894,11.1361,-0.03477
11.16,-0.1,0.1,1313078,-38934,11.1542,-0.03481
11.18,-0.1,0.1,1315152,-38926,11.1718,-0.03480
11.2,-0.1,0.1,1317296,-38913,11.1900,-0.03479
11.22,-0.1,0.1,1319352,-38915,11.2074,-0.03479
11.24,-0.1,0.1,1323462,-38915,11.2424,-0.03479
11.26,-0.1,0.1,1325569,-38886,11.2601,-0.03477
11.28,-0.1,0.1,1327582,-38884,11.2772,-0.03476
11.3,-0.1,0.1,1329748,-38909,11.2950,-0.03479
11.32,-0.1,0.1,1331815,-38886,11.3131,-0.03477
11.34,-0.1,0.1,1333957,-38882,11.3312,-0.03476
11.36,-0.1,0.1,1336036,-38894,11.3489,-0.03477
11.38,-0.1,0.1,1340112,-38889,11.3834,-0.03477
11.4,-0.1,0.1,1342233,-38907,11.4014,-0.03479
11.42,-0.1,0.1,1344308,-38903,11.4190,-0.03478
11.44,-0.1,0.1,1346469,-38891,11.4373,-0.03477
11.46,-0.1,0.1,1348555,-38893,11.4550,-0.03477
11.48,-0.1,0.1,1350657,-38895,11.4728,-0.03477
11.5,-0.1,0.1,1352807,-38911,11.4911,-0.03479
11.52,-0.1,0.1,1356957,-38890,11.5263,-0.03477
11.54,-0.1,0.1,1359015,-38880,11.5437,-0.03476
11.56,-0.1,0.1,1361140,-38918,11.5617,-0.03475
11.58,-0.1,0.1,1363238,-38866,11.5795,-0.03475
11.6,-0.1,0.1,1365415,-38891,11.5980,-0.03477
11.62,-0.1,0.1,1367521,-38860,11.6158,-0.03474
11.64,-0.1,0.1,1369611,-38899,11.6335,-0.03478
11.66,-0.1,0.1,1373692,-38890,11.6682,-0.03477
11.68,-0.1,0.1,1375828,-38866,11.6863,-0.03475
11.7,-0.1,0.1,1377919,-38892,11.7040,-0.03477
11.72,-0.1,0.1,1379972,-38914,11.7214,-0.03479
11.74,-0.1,0.1,1382054,-38910,11.7391,-0.03479
11.76,-0.1,0.1,1384183,-38921,11.7571,-0.03480
11.78,-0.1,0.1,1386230,-38877,11.7745,-0.03477
11.8,-0.1,0.1,1390391,-38924,11.8097,-0.03480
11.82,-0.1,0.1,1392417,-38875,11.8269,-0.03476
11.84,-0.1,0.1,1394399,-38915,11.8437,-0.03479
11.86,-0.1,0.1,1396552,-38907,11.8620,-0.03478
11.88,-0.1,0.1,1398637,-38881,11.8797,-0.03476
11.9,-0.1,0.1,1400659,-38888,11.8968,-0.03477
11.92,-0.1,0.1,1402711,-38894,11.9142,-0.03477
11.94,-0.1,0.1,1406810,-38902,11.9490,-0.03478
11.96,-0.1,0.1,1408925,-38871,11.9669,-0.03474
11.98,-0.1,0.1,1410960,-38903,11.9841,-0.03478
12.0,-0.1,0.1,1413006,-38881,12.0015,-0.03477
12.02,-0.1,0.1,1415126,-38881,12.0195,-0.03476
12.04,-0.1,0.1,1417228,-38892,12.0373,-0.03477
12.06,-0.1,0.1,1419314,-38887,12.0550,-0.03478
12.08,-0.1,0.1,1423501,-38895,12.0905,-0.03477
12.1,-0.1,0.1,1425585,-38886,12.1080,-0.03477
12.12,-0.1,0.1,1427675,-38885,12.1259,-0.03477
12.14,-0.1,0.1,1429827,-38884,12.1441,-0.03476
12.16,-0.1,0.1,1431910,-38871,12.1618,-0.03475
12.18,-0.1,0.1,1434179,-38894,12.1810,-0.03477
12.2,-0.1,0.1,1436286,-38888,12.1989,-0.03478
12.22,-0.1,0.1,1440275,-38889,12.2327,-0.03477
12.24,-0.1,0.1,1442347,-38905,12.2503,-0.03478
12.26,-0.1,0.1,1444319,-38872,12.2670,-0.03475
12.28,-0.1,0.1,1446407,-38872,12.2847,-0.03475
12.3,-0.1,0.1,1448423,-38908,12.3018,-0.03479
12.32,-0.1,0.1,1450553,-38876,12.3198,-0.03476
12.34,-0.1,0.1,1452474,-38889,12.3361,-0.03477
