set_voltage,set_current_min,set_current_max,adc_voltage,adc_current,meas_voltage,meas_current
19.1,-0.5,0.5,2256409,429043,19.1526,0.38346
19.15,-0.5,0.5,2262537,430204,19.2045,0.38449
19.2,-0.5,0.5,2268627,431451,19.2562,0.38560
19.25,-0.5,0.5,2274673,432213,19.3074,0.38628
19.3,-0.5,0.5,2278779,433039,19.3431,0.38701
19.35,-0.5,0.5,2285031,434200,19.3953,0.38804
19.4,-0.5,0.5,2291201,435425,19.4479,0.38913
19.45,-0.5,0.5,2297299,436588,19.4989,0.39016
19.5,-0.5,0.5,2303569,437806,19.5525,0.39124
19.55,-0.5,0.5,2309698,439034,19.6044,0.39233
19.6,-0.5,0.5,2315951,440285,19.6574,0.39341
19.65,-0.5,0.5,2319982,441078,19.6916,0.39414
19.7,-0.5,0.5,2326194,442285,19.7443,0.39521
19.75,-0.5,0.5,2332416,443076,19.7970,0.39591
19.8,-0.5,0.5,2338502,444266,19.8486,0.39697
19.85,-0.5,0.5,2344650,445472,19.9008,0.39804
19.9,-0.5,0.5,2350809,446686,19.9530,0.39912
19.95,-0.5,0.5,2356974,447851,20.0053,0.40015
