UsbSMU Set Voltage,UsbSMU Set Current Min,UsbSMU Set Current Max,UsbSMU Meas ADC Voltage,UsbSMU Meas ADC Current,UsbSMU Meas Voltage,UsbSMU Meas Current
3.88,-1,1,515906.0,18670.0,3.4752187728881836,-0.0001547966239741072
3.9,-1,1,518649.0,18855.0,3.494107961654663,-0.00015497571439482272
3.92,-1,1,521293.0,19057.0,3.512315511703491,-0.00015221486683003604
3.94,-1,1,524027.0,19213.0,3.5311427116394043,-0.00016400296590290964
3.96,-1,1,526562.0,19399.0,3.5485997200012207,-0.00016420063911937177
3.98,-1,1,529114.0,19620.0,3.566173791885376,-0.0001552848843857646
4.0,-1,1,531810.0,19813.0,3.5847392082214355,-0.00015234651800710708
4.0200000000000005,-1,1,534530.0,19974.0,3.6034700870513916,-0.00016205680731218308
4.04,-1,1,539714.0,20328.0,3.639169216156006,-0.00016931010759435594
4.0600000000000005,-1,1,542542.0,20535.0,3.658643960952759,-0.00016470819537062198
4.08,-1,1,545138.0,20744.0,3.676520824432373,-0.00015837156388442963
4.1,-1,1,547922.0,20920.0,3.695692539215088,-0.0001574307680130005
4.12,-1,1,550699.0,21090.0,3.714816093444824,-0.00016706202586647123
4.14,-1,1,553247.0,21253.0,3.7323625087738037,-0.00017970698536373675
4.16,-1,1,555858.0,21468.0,3.750342845916748,-0.00016981329827103764
4.18,-1,1,558603.0,21642.0,3.7692458629608154,-0.00017444769036956131
4.2,-1,1,561306.0,21795.0,3.7878599166870117,-0.00018415921658743173
4.22,-1,1,563903.0,21973.0,3.80574369430542,-0.00019011164840776473
4.24,-1,1,566717.0,22156.0,3.8251218795776367,-0.00019312588847242296
4.26,-1,1,569454.0,22388.0,3.8439698219299316,-0.00018321005336474627
4.28,-1,1,572063.0,22581.0,3.861936330795288,-0.00018272828310728073
4.3,-1,1,574774.0,22746.0,3.880605459213257,-0.0001898208138300106
4.32,-1,1,577400.0,22960.0,3.898688793182373,-0.00018052734958473593
4.34,-1,1,580127.0,23101.0,3.9174680709838867,-0.00019553318270482123
4.36,-1,1,582921.0,23270.0,3.936708688735962,-0.00020138734544161707
4.38,-1,1,585677.0,23441.0,3.9556872844696045,-0.0002122728037647903
4.4,-1,1,588729.0,23673.0,3.9767045974731445,-0.00020355425658635795
4.42,-1,1,590687.0,23845.0,3.9901881217956543,-0.0001688883639872074
4.44,-1,1,593211.0,24044.0,4.007569313049316,-0.00018709739379119128
4.46,-1,1,595852.0,24236.0,4.025756359100342,-0.0001973989710677415
4.48,-1,1,598817.0,24416.0,4.046174049377441,-0.0002010338648688048
4.5,-1,1,601300.0,24634.0,4.063272953033447,-0.00019048151443712413
4.5200000000000005,-1,1,604085.0,24770.0,4.082451343536377,-0.000209661535336636
4.54,-1,1,606925.0,24962.0,4.102008819580078,-0.0002081012207781896
4.5600000000000005,-1,1,609592.0,25215.0,4.12037467956543,-0.00019410641107242554
4.58,-1,1,612465.0,25347.0,4.1401591300964355,-0.0002142468438250944
4.6000000000000005,-1,1,614965.0,25515.0,4.157375335693359,-0.00021964291227050126
4.62,-1,1,617750.0,25675.0,4.176553726196289,-0.00022763371816836298
4.64,-1,1,623103.0,26084.0,4.213417053222656,-0.00021885742899030447
4.66,-1,1,625725.0,26270.0,4.231472492218018,-0.00022314873058348894
4.68,-1,1,628523.0,26440.0,4.250741004943848,-0.00023088071611709893
4.7,-1,1,631326.0,26630.0,4.27004337310791,-0.00023137772222980857
4.72,-1,1,634042.0,26803.0,4.288746356964111,-0.00023595296079292893
4.74,-1,1,636589.0,26984.0,4.306286334991455,-0.000237090396694839
4.76,-1,1,639404.0,27207.0,4.325671195983887,-0.00023097058874554932
4.78,-1,1,641988.0,27349.0,4.343465805053711,-0.0002436992945149541
4.8,-1,1,644706.0,27527.0,4.362183094024658,-0.0002488521859049797
4.82,-1,1,647449.0,27760.0,4.381072044372559,-0.00023725753999315202
4.84,-1,1,650162.0,27929.0,4.399755001068115,-0.0002453491324558854
4.86,-1,1,653112.0,28166.0,4.420069694519043,-0.00023648802016396075
4.88,-1,1,655880.0,28278.0,4.439131259918213,-0.00025969004491344094
4.9,-1,1,658571.0,28482.0,4.457662582397461,-0.00025656906655058265
4.92,-1,1,661231.0,28744.0,4.475980281829834,-0.0002381195517955348
4.94,-1,1,664056.0,28963.0,4.495434284210205,-0.00023423558741342276
4.96,-1,1,666807.0,29109.0,4.514378547668457,-0.00024612649576738477
4.98,-1,1,669464.0,29318.0,4.532675743103027,-0.00024228561960626394
5.0,-1,1,672416.0,29480.0,4.553004264831543,-0.00023640465224161744
5.0200000000000005,-1,1,675481.0,29686.0,4.574110984802246,-0.0002576218103058636
5.04,-1,1,678098.0,29909.0,4.592132568359375,-0.0002513415820430964
5.0600000000000005,-1,1,680837.0,30099.0,4.610994338989258,-0.0002492623752914369
5.08,-1,1,683565.0,30263.0,4.629780292510986,-0.0002597097191028297
5.1000000000000005,-1,1,686225.0,30477.0,4.648098468780518,-0.00025169330183416605
5.12,-1,1,688958.0,30693.0,4.666918754577637,-0.000246434094151482
5.14,-1,1,691734.0,30841.0,4.68603515625,-0.0002603598986752331
5.16,-1,1,694460.0,31050.0,4.704807281494141,-0.00025662046391516924
5.18,-1,1,697127.0,31251.0,4.723173141479492,-0.000255256803939119
5.2,-1,1,700007.0,31436.0,4.743005752563477,-0.0002582515589892864
5.22,-1,1,705429.0,31856.0,4.780343532562256,-0.00024943024618551135
5.24,-1,1,708389.0,32029.0,4.800727367401123,-0.00025885921786539257
5.26,-1,1,710844.0,32230.0,4.817633628845215,-0.00025584077229723334
5.28,-1,1,713596.0,32343.0,4.83658504486084,-0.0002794995380099863
5.3,-1,1,716268.0,32599.0,4.854985237121582,-0.00025819535949267447
5.32,-1,1,719210.0,32735.0,4.875245094299316,-0.00027843323186971247
5.34,-1,1,721933.0,33010.0,4.893996715545654,-0.0002574637474026531
5.36,-1,1,724576.0,33148.0,4.912197113037109,-0.00026989448815584183
5.38,-1,1,727360.0,33330.0,4.931368827819824,-0.00027394824428483844
5.4,-1,1,730106.0,33536.0,4.9502787590026855,-0.0002721647615544498
5.42,-1,1,732836.0,33763.0,4.969078540802002,-0.0002637482830323279
5.44,-1,1,735581.0,33907.0,4.987981796264648,-0.0002781145740300417
5.46,-1,1,738291.0,34084.0,5.006643772125244,-0.0002814306935761124
5.48,-1,1,741198.0,34289.0,5.026662349700928,-0.0002810047590173781
5.5,-1,1,743913.0,34517.0,5.045359134674072,-0.0002759023627731949
